# This is a roster heading, it is ignored, blah blah
aaa	AAA	950000000	aaaaaa@uoregon.edu	eh	 
bbb	BBB	950000001	bbbbbb@uoregon.edu	bee	r
ccc	CCC	950000002	cccccc@uoregon.edu	see	r
ddd	DDD	950000003	dddddd@uoregon.edu	dee	r
eee	EEE	950000004	eeeeee@uoregon.edu	e	r
fff	FFF	950000005	ffffff@uoregon.edu	ef	r
ggg	GGG	950000006	gggggg@uoregon.edu	gee	r
hhh	HHH	950000007	hhhhhh@uoregon.edu	aitch	r
iii	III	950000008	iiiiii@uoregon.edu	eye	r
jjj	JJJ	950000009	jjjjjj@uoregon.edu	jay	r
kkk	KKK	950000010	kkkkkk@uoregon.edu	kay	r
lll	LLL	950000011	llllll@uoregon.edu	el	r
mmm	MMM	950000012	mmmmmm@uoregon.edu	em	r
nnn	NNN	950000013	nnnnnn@uoregon.edu	en	r
ooo	OOO	950000014	oooooo@uoregon.edu	oh	r
ppp	PPP	950000015	pppppp@uoregon.edu	pea	r
qqq	QQQ	950000016	qqqqqq@uoregon.edu	cue	r
rrr	RRR	950000017	rrrrrr@uoregon.edu	arr	r
sss	SSS	950000018	ssssss@uoregon.edu	ess	r
ttt	TTT	950000019	tttttt@uoregon.edu	tea	r
uuu	UUU	950000020	uuuuuu@uoregon.edu	you	r
vvv	VVV	950000021	vvvvvv@uoregon.edu	vee	r
www	WWW	950000022	wwwwww@uoregon.edu	double-you	r
xxx	XXX	950000023	xxxxxx@uoregon.edu	ex	r
yyy	YYY	950000024	yyyyyy@uoregon.edu	why	r
zzz	ZZZ	950000025	zzzzzz@uoregon.edu	zee	r
